Código_Distrito;Designação_Distrito;Código_Concelho;Designação_Concelho;Code_full;Designação_freguesia;blankVotesPercentage;nullVotesPercentage;percentageVoters;Marcelo Rebelo de Sousa;André Ventura;Ana Gomes;Vitorino Silva;Marisa Matias;Tiago Mayan Gonçalves;João Ferreira
1;Aveiro;104;Arouca;10400;Covelo de Paivó e Janarde;0;0;43.98;83.33;4.76;4.76;5.95;1.19;0;0
1;Aveiro;104;Arouca;10400;Escariz;1.41;0.82;45.07;72.25;10.19;5.5;5.5;1.76;2.22;0.35
1;Aveiro;104;Arouca;10400;Fermedo;0.79;0.59;43.31;70.47;10.24;5.31;6.3;1.77;2.95;1.57
1;Aveiro;104;Arouca;10400;Mansores;2.32;0.97;53.24;74.13;7.34;5.41;5.79;2.12;1.93;0
1;Aveiro;104;Arouca;10400;Moldes;1.58;0.79;45.13;72.48;6.53;8.32;4.16;2.97;1.78;1.39
1;Aveiro;104;Arouca;10400;Rossas;1.56;1.56;46.39;65.16;9.49;10.26;6.53;1.56;2.02;1.87
1;Aveiro;104;Arouca;10400;Santa Eulália;1.52;0.65;45.68;62.54;9.77;11.62;7.17;1.95;2.82;1.95
1;Aveiro;104;Arouca;10400;São Miguel do Mato;0.44;0.88;36.95;84.65;5.26;2.19;3.07;1.75;0.44;1.32
1;Aveiro;104;Arouca;10400;Tropeço;1.13;0.9;42.58;66.29;7.92;8.6;7.92;2.71;2.49;2.04
1;Aveiro;104;Arouca;10400;Urrô;3.27;1.51;45.54;64.82;8.29;8.79;8.04;1.76;2.76;0.75
1;Aveiro;104;Arouca;10400;Várzea;0.78;0.39;56.39;68.75;8.59;9.38;4.69;3.52;2.73;1.17
1;Aveiro;105;Aveiro;10500;Aradas;1.59;0.72;45.8;62.62;9;12.65;2.78;4.22;4.09;2.34
1;Aveiro;105;Aveiro;10500;Cacia;1.12;0.72;45.34;62.85;10.62;11.38;3.24;5.36;1.87;2.84
1;Aveiro;105;Aveiro;10500;Eixo e Eirol;1.11;1.02;44.25;63.61;11.54;11.34;2.87;3.52;2.66;2.33
1;Aveiro;105;Aveiro;10500;Esgueira;1.05;0.62;46.26;57.33;10.43;16.66;2.34;4.98;3.2;3.4
1;Aveiro;105;Aveiro;10500;Glória e Vera Cruz;1.32;0.49;51.65;55.98;7.72;19.31;1.81;4.67;4.84;3.84
1;Aveiro;105;Aveiro;10500;Oliveirinha;1.47;0.65;43.98;68.8;11.9;6.79;2.72;4.13;2.01;1.52
1;Aveiro;105;Aveiro;10500;Requeixo, Nossa Senhora de Fátima e Nariz;1.76;1.36;43.98;67.82;13.17;7.43;2.72;2.67;1.42;1.65
1;Aveiro;105;Aveiro;10500;Santa Joana;1.03;0.85;45.65;62.33;11.11;13.02;2.43;3.86;2.92;2.43
1;Aveiro;105;Aveiro;10500;São Bernardo;0.87;1.03;53.3;61.24;11.65;12.85;2.73;3.72;3.97;1.94
1;Aveiro;105;Aveiro;10500;São Jacinto;1.48;0.3;39.3;61.24;9.76;10.95;2.66;5.62;2.07;5.92
1;Aveiro;106;Castelo de Paiva;10600;Fornos;1.83;0.41;41.52;63.62;3.46;14.63;9.55;2.85;1.83;1.83
1;Aveiro;106;Castelo de Paiva;10600;Raiva, Pedorido e Paraíso;1;1.2;38.33;60.52;7.28;13.43;9.08;4.01;2;1.47
1;Aveiro;106;Castelo de Paiva;10600;Real;0.51;0.77;36.3;60.36;5.88;12.79;14.58;2.3;2.05;0.77
1;Aveiro;106;Castelo de Paiva;10600;Santa Maria de Sardoura;1.07;1.66;40.9;69.82;3.91;8.17;11.01;2.25;1.42;0.71
1;Aveiro;106;Castelo de Paiva;10600;São Martinho de Sardoura;1.54;0.77;47.29;69.28;6.68;8.23;9.25;2.31;1.03;0.9
1;Aveiro;106;Castelo de Paiva;10600;Sobrado e Bairros;0.93;0.58;41.69;61.02;6.92;13.55;9.95;3.32;2.39;1.34
1;Aveiro;107;Espinho;10700;Anta e Guetim;0.99;1.01;47.5;62.62;8.54;14.47;2.76;2.85;3.07;3.69
1;Aveiro;107;Espinho;10700;Espinho;1.02;1.04;52.6;57.27;9.4;15.86;2.28;4.14;4.67;4.33
1;Aveiro;107;Espinho;10700;Paramos;0.72;0.96;40.97;66.37;4.78;11.63;2.71;5.5;3.51;3.82
1;Aveiro;107;Espinho;10700;Silvalde;1.21;1.37;43.9;62.42;7.88;13.17;2.78;3.37;2.74;5.05
1;Aveiro;108;Estarreja;10800;Avanca;1.17;1.41;40.4;67.17;8.55;9.91;3.1;3.01;3.01;2.68
1;Aveiro;108;Estarreja;10800;Beduído e Veiros;1.02;2.94;39.87;60.44;10.02;12.93;2.58;3.51;2.83;3.73
1;Aveiro;108;Estarreja;10800;Canelas e Fermelã;1.18;0.76;48.28;67.14;9.41;9.5;3.19;3.61;1.93;3.28
1;Aveiro;108;Estarreja;10800;Pardilhó;1.31;1.14;32.83;65.17;9.98;8.09;3.52;3.76;2.62;4.42
1;Aveiro;108;Estarreja;10800;Salreu;1.09;1.52;40.65;67.51;10.37;7.32;3.84;2.83;2.76;2.76
1;Aveiro;109;Santa Maria da Feira;10900;Argoncilhe;1.03;1;45.82;61.73;8.35;12.42;4.45;4.19;4.98;1.85
1;Aveiro;109;Santa Maria da Feira;10900;Arrifana;1.35;1.09;40.34;66.72;6.45;12.5;2.74;3.66;2.74;2.74
1;Aveiro;109;Santa Maria da Feira;10900;Caldas de São Jorge e Pigeiros;1.83;1.04;46.8;61.97;8.67;14.1;5.07;3.6;1.4;2.32
1;Aveiro;109;Santa Maria da Feira;10900;Canedo, Vale e Vila Maior;0.91;1.13;35.51;65.6;9.73;9.47;5.45;4.12;2.5;1.1
1;Aveiro;109;Santa Maria da Feira;10900;Escapães;1.29;0.72;46.38;66.5;7.52;12.24;3.08;4.15;2.93;1.57
1;Aveiro;109;Santa Maria da Feira;10900;Fiães;1.44;0.8;38.15;61.75;7.78;13.74;3.26;4.78;3.38;3.07
1;Aveiro;109;Santa Maria da Feira;10900;Fornos;1.01;0.65;46.12;65.42;6.5;12.27;3.83;4.98;3.39;1.95
1;Aveiro;109;Santa Maria da Feira;10900;Lobão, Gião, Louredo e Guisande;1.21;1.1;39.61;62;9.72;12.13;5.98;3.78;2.58;1.5
1;Aveiro;109;Santa Maria da Feira;10900;Lourosa;1.15;1.15;40.61;64.35;8.2;12.95;4.18;3.89;3.16;0.99
1;Aveiro;109;Santa Maria da Feira;10900;Milheirós de Poiares;0.87;0.6;45.4;66.55;6.98;14.57;3.22;3.29;2.35;1.54
1;Aveiro;109;Santa Maria da Feira;10900;Mozelos;1.15;0.78;45.47;63.2;6.71;13.01;4.91;4.64;4.17;1.42
1;Aveiro;109;Santa Maria da Feira;10900;Nogueira da Regedoura;1.19;0.9;45.33;65.53;7.34;11.52;3.5;3.75;4.01;2.26
1;Aveiro;109;Santa Maria da Feira;10900;Paços de Brandão;1.01;0.96;47.47;62.73;8.97;12.15;3.38;4.29;4.73;1.78
1;Aveiro;109;Santa Maria da Feira;10900;Rio Meão;1.09;0.98;41.82;64.96;7.47;12.75;3.65;4.09;3.05;1.96
1;Aveiro;109;Santa Maria da Feira;10900;Romariz;1.96;1.11;40.86;72;8.43;9.45;2.98;1.79;1.62;0.68
1;Aveiro;109;Santa Maria da Feira;10900;Sanguedo;0.8;1.1;44.23;61.07;11.25;13.44;3.73;2.92;3.8;1.9
1;Aveiro;109;Santa Maria da Feira;10900;Santa Maria da Feira, Travanca, Sanfins e Espargo;1.44;0.74;47.95;60.3;8.29;14.42;3.54;4.14;5;2.12
1;Aveiro;109;Santa Maria da Feira;10900;Santa Maria de Lamas;1.18;1.32;47.39;61.28;9.68;11.9;3.73;5.19;3.87;1.84
1;Aveiro;109;Santa Maria da Feira;10900;São João de Ver;1.2;0.85;38.65;62.06;8.06;13.64;3.66;5.3;3.58;1.64
1;Aveiro;109;Santa Maria da Feira;10900;São Miguel de Souto e Mosteirô;1.09;1.58;40.77;68.89;6.27;11.25;3.88;3.68;1.94;1.42
1;Aveiro;109;Santa Maria da Feira;10900;São Paio de Oleiros;1.1;1.17;47.7;63.68;6.69;13.31;3.62;4.42;2.02;3.99
1;Aveiro;110;Ílhavo;11000;Gafanha da Encarnação;0.99;1.09;37.8;64.69;12.1;9.5;3.32;3.58;3.32;1.4
1;Aveiro;110;Ílhavo;11000;Gafanha da Nazaré;1.85;0.91;39.79;61.82;11.97;11.36;2.89;3.66;3.41;2.13
1;Aveiro;110;Ílhavo;11000;Gafanha do Carmo;1.7;0.85;35.38;65.31;11.05;7.99;5.1;5.44;1.36;1.19
1;Aveiro;110;Ílhavo;11000;Ílhavo (São Salvador);1.37;0.77;40.3;59.83;10.4;14.36;2.79;4.2;3.47;2.82
1;Aveiro;111;Mealhada;11100;Barcouço;1.91;1.02;41.42;62.8;10.19;10.7;3.31;4.71;2.04;3.31
1;Aveiro;111;Mealhada;11100;Casal Comba;0.94;0.86;39.69;65.58;9.25;10.19;3.25;5.65;1.46;2.83
1;Aveiro;111;Mealhada;11100;Luso;0.85;1.16;42.28;62.75;8.25;12.28;3.49;4.87;2.54;3.81
1;Aveiro;111;Mealhada;11100;Mealhada, Ventosa do Bairro e Antes;1.69;0.68;42.88;61.49;9.46;13.12;2.49;5.11;3.22;2.74
1;Aveiro;111;Mealhada;11100;Pampilhosa;1.36;0.93;40.32;60.21;9.93;12;3;5.79;1.86;4.93
1;Aveiro;111;Mealhada;11100;Vacariça;1.66;0.83;36.68;65.78;8.47;11.96;2.66;5.48;1;2.16
1;Aveiro;112;Murtosa;11200;Bunheiro;0.98;1.09;37.65;70.51;11.86;5.44;4.13;3.59;1.09;1.31
1;Aveiro;112;Murtosa;11200;Monte;1.18;0.78;32.99;74.12;7.45;7.45;2.94;2.35;1.57;2.16
1;Aveiro;112;Murtosa;11200;Murtosa;1.11;1.02;33.41;71.15;8.07;9.28;4.08;2.32;1.39;1.58
1;Aveiro;112;Murtosa;11200;Torreira;1.39;0.69;31.74;63.54;9.38;12.5;3.36;4.17;2.89;2.08
1;Aveiro;113;Oliveira de Azeméis;11300;Carregosa;0.73;1.86;48.5;71.13;7.83;7.56;4.64;3.12;2.26;0.86
1;Aveiro;113;Oliveira de Azeméis;11300;Cesar;1.03;0.79;46.11;66.35;9.34;9.9;4.43;3.56;2.93;1.66
1;Aveiro;113;Oliveira de Azeméis;11300;Fajões;0.53;1.33;42.42;64.36;9.49;10.82;5.76;3.19;3.1;1.42
1;Aveiro;113;Oliveira de Azeméis;11300;Loureiro;0.63;0.99;44.32;72.55;9.92;6.69;3.1;2.53;2.46;1.13
1;Aveiro;113;Oliveira de Azeméis;11300;Macieira de Sarnes;1.48;0.62;48.13;65.76;6.8;11.87;3.58;4.08;1.48;4.33
1;Aveiro;113;Oliveira de Azeméis;11300;Nogueira do Cravo e Pindelo;1.03;1.54;46.16;66.9;6.62;11.7;3.59;3.59;3.5;1.54
1;Aveiro;113;Oliveira de Azeméis;11300;O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail;1.08;0.89;41.83;67.1;7.45;11.48;3.51;3.99;2.65;1.85
1;Aveiro;113;Oliveira de Azeméis;11300;Ossela;1;1.38;44.96;70.05;8.27;9.27;4.01;2.88;2.63;0.5
1;Aveiro;113;Oliveira de Azeméis;11300;Pinheiro da Bemposta, Travanca e Palmaz;1.6;0.62;40.36;70.98;8.41;7.99;4.56;3.19;1.64;1.01
1;Aveiro;113;Oliveira de Azeméis;11300;São Martinho da Gândara;1.15;0.26;44.64;76.63;4.6;7.15;3.83;2.43;2.68;1.28
1;Aveiro;113;Oliveira de Azeméis;11300;São Roque;0.88;1.02;45.12;66.76;7.45;12.21;3.84;3.6;3.07;1.17
1;Aveiro;113;Oliveira de Azeméis;11300;Vila de Cucujães;1.11;0.92;39.91;67.19;5.95;12.71;3.54;3.95;2.7;1.92
1;Aveiro;114;Oliveira do Bairro;11400;Bustos, Troviscal e Mamarrosa;1.53;1.02;39.51;68.97;13.62;5.62;2.89;1.79;3.07;1.49
1;Aveiro;114;Oliveira do Bairro;11400;Oiã;1.32;0.83;42.24;62.34;18.08;7.15;2.85;2.95;2.88;1.6
1;Aveiro;114;Oliveira do Bairro;11400;Oliveira do Bairro;1.63;1.36;38.45;62;15.76;8.15;2.76;2.36;3.8;2.17
1;Aveiro;114;Oliveira do Bairro;11400;Palhaça;1.65;0.92;44.9;74.73;12;3.21;2.66;1.83;2.75;0.27
1;Aveiro;115;Ovar;11500;Cortegaça;1.33;0.73;49.33;63.75;7.55;13.78;3.63;3.99;3.26;1.99
1;Aveiro;115;Ovar;11500;Esmoriz;1.08;1.18;45.49;61.74;7.82;14.35;3.25;4.37;4.29;1.92
1;Aveiro;115;Ovar;11500;Maceda;0.98;1.23;38.76;69.89;6.14;9.98;3.36;2.95;2.21;3.27
1;Aveiro;115;Ovar;11500;Ovar, S.João, Arada e S.Vicente de Pereira Jusã;1.35;0.96;43.01;60.33;7.49;14.06;3.34;5.65;2.78;4.03
1;Aveiro;115;Ovar;11500;Válega;1.05;0.82;35.62;67.58;7.88;10.39;3.11;4.81;2.11;2.24
1;Aveiro;116;São João da Madeira;11600;São João da Madeira;1.41;0.98;45.45;61.93;7.56;14.86;2.58;4.08;3.52;3.06
1;Aveiro;117;Sever do Vouga;11700;Cedrim e Paradela;1.25;0;43.26;63.52;18.86;6.41;5.52;2.31;1.6;0.53
1;Aveiro;117;Sever do Vouga;11700;Couto de Esteves;0.9;1.19;44.55;69.85;12.54;7.76;1.79;2.69;1.49;1.79
1;Aveiro;117;Sever do Vouga;11700;Pessegueiro do Vouga;1.28;0.9;47.76;64.62;12.44;8.08;4.23;3.72;2.56;2.18
1;Aveiro;117;Sever do Vouga;11700;Rocas do Vouga;0.71;1.07;36.65;67.5;8.88;10.66;3.2;3.37;1.6;3.02
1;Aveiro;117;Sever do Vouga;11700;Sever do Vouga;1.85;1.32;47.09;60.93;12.7;9.79;3.88;3.97;4.06;1.5
1;Aveiro;117;Sever do Vouga;11700;Silva Escura e Dornelas;0.78;1.46;45.46;69.62;8.86;7.06;6.28;3.03;1.79;1.12
1;Aveiro;117;Sever do Vouga;11700;Talhadas;1.56;1.36;47.11;66.73;16.34;7;2.33;2.14;1.75;0.78
1;Aveiro;118;Vagos;11800;Calvão;1.9;0.67;45.47;68.98;12.77;6.49;2.24;2.46;3.81;0.67
1;Aveiro;118;Vagos;11800;Fonte de Angeão e Covão do Lobo;1.59;0.91;40.15;67.95;16.59;3.07;3.18;3.3;2.73;0.68
1;Aveiro;118;Vagos;11800;Gafanha da Boa Hora;1.72;1.11;26.45;63.64;12.41;8.85;3.07;3.69;3.32;2.21
1;Aveiro;118;Vagos;11800;Ouca;0.45;0.76;40.59;70.76;15;5.76;1.67;1.21;3.48;0.91
1;Aveiro;118;Vagos;11800;Ponte de Vagos e Santa Catarina;1.47;1.01;39.66;71.36;13.26;4.7;2.76;2.21;2.39;0.83
1;Aveiro;118;Vagos;11800;Santo André de Vagos;0.65;1.03;39;74.97;12;3.23;4.26;2.19;0.65;1.03
1;Aveiro;118;Vagos;11800;Sosa;1.68;0.84;40.24;68.97;14.77;5.79;2.43;1.96;2.43;1.12
1;Aveiro;118;Vagos;11800;Vagos e Santo António;1.23;0.6;46.98;67.43;11.8;9.34;2.09;3.36;2.84;1.31
1;Aveiro;119;Vale de Cambra;11900;Arões;1.1;1.32;35.24;70.99;9.23;7.03;4.4;3.3;1.1;1.54
1;Aveiro;119;Vale de Cambra;11900;Cepelos;1.02;1.02;39.09;71.37;8.59;5.52;5.11;3.27;3.07;1.02
1;Aveiro;119;Vale de Cambra;11900;Junqueira;0.99;2.71;46.4;76.11;5.42;4.68;5.17;1.72;1.97;1.23
1;Aveiro;119;Vale de Cambra;11900;Macieira de Cambra;1.05;0.89;43.62;62.35;8.86;11.74;5.54;4.21;3.82;1.55
1;Aveiro;119;Vale de Cambra;11900;Roge;1.14;0.98;39.29;68.03;8.65;9.62;6.04;2.28;2.28;0.98
1;Aveiro;119;Vale de Cambra;11900;São Pedro de Castelões;1.51;1.55;42.36;65.03;9.02;9.68;5.26;3.39;2.87;1.69
1;Aveiro;119;Vale de Cambra;11900;Vila Chã, Codal e Vila Cova de Perrinho;1.71;0.99;46.38;67.04;7.66;9.65;4.91;3.47;3.2;1.35
2;Beja;201;Aljustrel;20100;Aljustrel e Rio de Moinhos;0.39;1.02;39.6;41.86;11.23;12.83;1.56;3.11;0.78;27.22
2;Beja;201;Aljustrel;20100;Ervidel;0.26;1.03;47.09;40.62;11.83;13.11;1.54;2.31;0.51;28.79
2;Beja;201;Aljustrel;20100;Messejana;0.85;1.41;48.7;55.21;9.58;5.35;4.51;3.38;0.85;18.87
2;Beja;201;Aljustrel;20100;São João de Negrilhos;0.84;0.84;48.06;55.31;14.84;7.59;1.01;1.85;0.17;17.54
2;Beja;202;Almodôvar;20200;Aldeia dos Fernandes;1.51;1.01;39.72;63.32;7.04;11.06;2.51;5.03;1.51;7.04
2;Beja;202;Almodôvar;20200;Almodôvar e Graça dos Padrões;1.49;1.21;41.17;58.03;16.69;9.59;3.2;3.91;0.99;4.9
2;Beja;202;Almodôvar;20200;Rosário;1.03;2.06;34.34;50.52;17.53;7.73;1.03;7.73;3.09;9.28
2;Beja;202;Almodôvar;20200;Santa Clara-a-Nova e Gomes Aires;0;1.96;32.32;60.78;11.76;7.84;3.53;4.31;1.96;7.84
2;Beja;202;Almodôvar;20200;Santa Cruz;0.52;1.55;36.76;66.84;11.4;7.77;1.04;3.63;0.52;6.74
2;Beja;202;Almodôvar;20200;São Barnabé;1.87;0.93;27.79;71.03;5.61;7.48;1.87;5.61;0.93;4.67
2;Beja;203;Alvito;20300;Alvito;1.38;0.2;53.41;51.67;20.04;10.81;1.57;2.36;1.77;10.22
2;Beja;203;Alvito;20300;Vila Nova da Baronia;0.78;1.03;40.4;54.26;14.73;10.59;1.55;2.84;1.55;12.66
2;Beja;204;Barrancos;20400;Barrancos;2.05;1.64;37.25;56.15;16.8;8.81;2.46;3.07;0.82;8.2
2;Beja;205;Beja;20500;Albernoa e Trindade;0.94;0.31;41.51;53.77;11.01;9.43;2.52;2.52;0.94;18.55
2;Beja;205;Beja;20500;Baleizão;0.28;0.28;48.11;36.8;12.08;6.46;1.12;7.58;1.4;33.99
2;Beja;205;Beja;20500;Beja (Salvador e Santa Maria da Feira);1.26;0.96;45.65;46.8;17.65;13.6;1.26;4.18;2.25;12.04
2;Beja;205;Beja;20500;Beja (Santiago Maior e São João Baptista);0.92;0.72;48.89;49.91;18.18;11.88;1.53;3.31;2.06;11.49
2;Beja;205;Beja;20500;Beringel;1.39;0.59;44.93;54.46;12.87;6.53;1.39;2.97;1.39;18.42
2;Beja;205;Beja;20500;Cabeça Gorda;0.48;0.72;36.65;49.76;12.02;11.06;2.16;2.4;0.24;21.15
2;Beja;205;Beja;20500;Nossa Senhora das Neves;1.03;0.86;42.3;50.52;16.55;7.76;1.03;3.1;0.86;18.28
2;Beja;205;Beja;20500;Salvada e Quintos;0.65;0.43;44.33;50.33;11.28;10.41;1.52;1.74;0.22;23.43
2;Beja;205;Beja;20500;Santa Clara de Louredo;0.98;1.64;55.15;50.16;8.85;5.57;0.98;1.97;0.66;29.18
2;Beja;205;Beja;20500;Santa Vitória e Mombeja;0;0.89;45.07;44.08;15.38;11.54;2.96;4.14;0.3;20.71
2;Beja;205;Beja;20500;São Matias;0.46;0;49.43;55.76;19.82;14.75;1.84;1.84;0.92;4.61
2;Beja;205;Beja;20500;Trigaches e São Brissos;1.31;1.75;48.31;48.03;20.09;11.79;0;4.37;2.18;10.48
2;Beja;206;Castro Verde;20600;Castro Verde e Casével;0.74;0.88;44.97;50.32;11.09;12.67;1.52;5.15;1.28;16.35
2;Beja;206;Castro Verde;20600;Entradas;0;0.4;45.42;51.21;11.69;10.48;2.02;1.61;0.4;22.18
2;Beja;206;Castro Verde;20600;Santa Bárbara de Padrões;0.32;1.28;42.56;57.37;8.33;7.37;2.56;5.45;0.32;16.99
2;Beja;206;Castro Verde;20600;São Marcos da Ataboeira;0.77;0;47.62;57.69;10;3.85;2.31;3.08;0.77;21.54
2;Beja;207;Cuba;20700;Cuba;0.67;0.77;41.29;42.86;15.92;11.79;1.25;2.49;1.34;22.91
2;Beja;207;Cuba;20700;Faro do Alentejo;0;2.5;35.32;42.5;18.13;6.25;0;2.5;0;28.13
2;Beja;207;Cuba;20700;Vila Alva;0.56;1.69;54.94;61.8;3.93;7.3;2.81;2.25;1.12;18.54
2;Beja;207;Cuba;20700;Vila Ruiva;0;2.3;44.27;54.6;12.07;6.32;1.15;2.87;0.57;20.11
2;Beja;208;Ferreira do Alentejo;20800;Alfundão e Peroguarda;0.92;2.29;44.59;60.41;15.56;6.64;0.92;5.72;0.69;6.86
2;Beja;208;Ferreira do Alentejo;20800;Ferreira do Alentejo e Canhestros;1.13;0.71;42;54.22;13.44;10.11;1.84;2.85;1.61;14.09
2;Beja;208;Ferreira do Alentejo;20800;Figueira dos Cavaleiros;0.19;0.37;50.38;61.01;11.19;5.78;2.05;4.48;0.56;14.37
2;Beja;208;Ferreira do Alentejo;20800;Odivelas;1.08;0.54;44.9;70.27;8.11;8.11;1.08;0.54;0;10.27
2;Beja;209;Mértola;20900;Alcaria Ruiva;0.42;1.69;37.68;53.59;9.7;9.28;0;0.84;0.84;23.63
2;Beja;209;Mértola;20900;Corte do Pinto;1.42;0.71;38.21;45.04;14.54;11.7;2.13;5.67;0;18.79
2;Beja;209;Mértola;20900;Espírito Santo;0;2.11;33.22;51.58;12.63;8.42;4.21;1.05;0;20
2;Beja;209;Mértola;20900;Mértola;1.12;1.31;46.86;49.63;10.21;10.49;2.34;3.65;0.66;20.6
2;Beja;209;Mértola;20900;S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros;0.68;0.68;35.64;61.56;4.42;6.8;0.34;2.38;1.7;21.43
2;Beja;209;Mértola;20900;Santana de Cambas;1.64;1.23;37.48;51.64;11.07;10.25;1.23;3.28;1.23;18.44
2;Beja;209;Mértola;20900;São João dos Caldeireiros;1.92;3.21;33.12;34.62;16.03;8.97;1.28;2.56;0;31.41
2;Beja;210;Moura;21000;Amareleja;0.86;0.52;29.99;37.93;33.28;5.52;1.38;2.07;0.86;17.59
2;Beja;210;Moura;21000;Póvoa de São Miguel;0.3;0.91;47.82;30.4;40.73;20.36;0.3;3.34;0.61;3.04
2;Beja;210;Moura;21000;Safara e Santo Aleixo da Restauração;0.65;1.29;43.87;37.48;32.96;11.95;0.81;2.1;0.32;12.44
2;Beja;210;Moura;21000;Santo Agostinho e São João Baptista e Santo Amador;0.81;0.84;39.33;40.78;27.63;14.34;0.81;2.42;0.91;11.47
2;Beja;210;Moura;21000;Sobral da Adiça;0.3;2.1;41.75;29.34;33.23;19.46;0.6;0.6;0.9;13.47
